epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.243,2.7511,6.39574,0.86695,0.8294,0.19769,0.32354,0.08347,2.93942,2.38891,0.84353,0.067509,0.000663082,0.000663082
2,344.086,2.68789,1.81535,0.84953,0.66504,0.39024,0.41945,0.10603,3.02512,3.02263,0.86347,0.0348403,0.00132772,0.00132772
3,499.475,2.71227,1.7821,0.85501,0.59438,0.36935,0.41932,0.15303,2.65658,1.53786,0.85296,0.00216346,0.00198425,0.00198425
4,645.182,2.66207,1.74448,0.84211,0.59787,0.35054,0.34938,0.14274,2.35551,1.7851,0.842,0.00197265,0.00197265,0.00197265
5,790.218,2.38317,1.5767,0.82524,0.80485,0.27642,0.36878,0.13347,2.58149,1.49855,0.85095,0.00195155,0.00195155,0.00195155
6,934.056,2.38422,1.54242,0.82541,0.7213,0.4065,0.46649,0.18236,2.37715,1.27214,0.84516,0.00192464,0.00192464,0.00192464
7,1079.56,2.36111,1.46516,0.81904,0.79344,0.31707,0.38799,0.12487,2.73303,1.45451,0.84855,0.0018921,0.0018921,0.0018921
8,1224.87,2.24142,1.37574,0.81704,0.72892,0.43089,0.50022,0.20794,2.32629,1.28204,0.82846,0.00185411,0.00185411,0.00185411
9,1373.33,2.20283,1.32401,0.82167,0.79595,0.4878,0.57363,0.27538,1.85155,1.0284,0.82255,0.00181093,0.00181093,0.00181093
10,1516.89,2.13209,1.33707,0.81731,0.80826,0.47967,0.55491,0.2506,2.13407,1.19377,0.82766,0.0017628,0.0017628,0.0017628
11,1659.16,2.17405,1.2952,0.81385,0.82923,0.4878,0.5754,0.266,2.06873,1.24729,0.82496,0.00171004,0.00171004,0.00171004
12,1799.56,2.07822,1.30345,0.80522,0.75096,0.52033,0.58836,0.2918,1.82386,1.136,0.81774,0.00165295,0.00165295,0.00165295
13,1939.85,2.05817,1.22951,0.80382,0.7572,0.55781,0.59451,0.29985,1.90488,1.14225,0.82338,0.00159191,0.00159191,0.00159191
